Disease,Stage,Symptoms
COVID-19,None,Fever;Cough;Fatigue;Loss of taste;Loss of smell;Sore throat;Shortness of breath;Chest pain
Pneumonia,None,Cough;Fever;Chills;Shortness of breath;Chest pain;Fatigue
Tuberculosis,None,Chronic cough;Hemoptysis (coughing blood);Night sweats;Weight loss;Fever;Fatigue
Asthma,None,Wheezing;Shortness of breath;Chest tightness;Cough (esp. at night);Exercise-induced breathlessness
COPD,None,Chronic cough;Sputum production;Shortness of breath;Wheezing;Fatigue
Lung Cancer,Stage 1,Persistent cough;Localized chest pain;Shortness of breath;Unexplained weight loss
Lung Cancer,Stage 2,Coughing up blood;Worsened breathlessness;Chest/shoulder pain;Hoarseness
Lung Cancer,Stage 3,Severe persistent cough;Chest pain;Dyspnea;Recurrent infections;Weight loss
Lung Cancer,Stage 4,Metastatic pain (bone/headache);Severe weight loss;Neurologic symptoms;Respiratory failure
Breast Cancer,Stage 1,Painless lump;Localized swelling;Mild nipple changes
Breast Cancer,Stage 2,Nipple retraction;Skin dimpling;Enlarged lymph nodes
Breast Cancer,Stage 3,Nipple discharge;Skin ulceration;Fixed mass
Breast Cancer,Stage 4,Metastatic pain (bone, liver);Breathing difficulty;Weight loss
Diabetes Mellitus (Type 2),None,Polyuria;Polydipsia;Polyphagia;Fatigue;Blurred vision;Slow wound healing;Tingling in extremities
Hypertension,None,Often asymptomatic;Headache;Dizziness;Nosebleeds in severe cases;Vision changes
Heart Disease (Ischemic),None,Chest pain (angina);Shortness of breath;Fatigue;Palpitations;Sweating
Myocardial Infarction,None,Severe chest pain;Radiating arm/jaw pain;Shortness of breath;Nausea;Cold sweat
Stroke (Ischemic/Hemorrhagic),None,Sudden numbness (face/arm/leg);Confusion;Trouble speaking;Vision problems;Severe headache
Pulmonary Embolism,None,Acute shortness of breath;Pleuritic chest pain;Cough;Hemoptysis;Tachycardia
Pneumothorax,None,Sudden unilateral chest pain;Shortness of breath;Reduced breath sounds
Sepsis,None,Fever;Rapid heart rate;Rapid breathing;Confusion;Low urine output;Hypotension
Meningitis,None,Severe headache;Neck stiffness;Fever;Photophobia;Confusion;Vomiting
Encephalitis,None,Altered consciousness;Seizures;Fever;Headache;Focal neurological deficits
Alzheimer's Disease,None,Memory loss;Disorientation;Language impairment;Behavior changes;Poor judgment
Parkinson's Disease,None,Tremor at rest;Bradykinesia;Rigidity;Balance problems;Speech changes
Epilepsy,None,Seizures;Loss of consciousness;Confusion after episode;Aura in some cases
Kidney Disease (Chronic),None,Fatigue;Edema;Changes in urination;Nausea;Itching;Anorexia
Liver Disease (Cirrhosis),None,Jaundice;Ascites;Fatigue;Loss of appetite;Easy bruising;Itchy skin
Hepatitis (Viral),None,Fever;Fatigue;Jaundice;Abdominal pain;Dark urine;Nausea
Pancreatic Cancer,Stage 1,Upper abdominal pain;Weight loss;Indigestion
Pancreatic Cancer,Stage 2,Worsening abdominal pain;Jaundice;Back pain;New-onset diabetes
Pancreatic Cancer,Stage 3,Severe abdominal/back pain;Cachexia;Jaundice
Pancreatic Cancer,Stage 4,Metastatic symptoms;Severe weight loss;Liver pain;Ascites
Colorectal Cancer,Stage 1,Change in bowel habits;Constipation/diarrhea;Rectal bleeding;Abdominal discomfort
Colorectal Cancer,Stage 2,Increased bleeding;Tenesmus;Anemia;Weight loss
Colorectal Cancer,Stage 3,Abdominal pain;Obstruction symptoms;Marked weight loss
Colorectal Cancer,Stage 4,Metastatic symptoms;Liver pain;Ascites;Systemic symptoms
Breast Infection (Mastitis),None,Localized breast pain;Redness;Fever;Swelling;Nipple discharge
HIV/AIDS,None,Fever;Night sweats;Weight loss;Chronic diarrhea;Persistent infections;Oral thrush
Malaria,None,High fever;Chills;Sweats;Headache;Nausea;Anemia;Jaundice in severe falciparum
Dengue,None,High fever;Severe headache;Retro-orbital pain;Myalgia/arthralgia;Rash;Bleeding in severe cases
Severe Dengue (Dengue Hemorrhagic),None,Plasma leakage;Hemorrhage;Shock;Severe abdominal pain;Persistent vomiting
Typhoid Fever,None,Fever;Abdominal pain;Rose spots;Headache;Constipation or diarrhea
Cholera,None,Profuse watery diarrhea;Severe dehydration;Leg cramps;Hypovolemic shock
Leukemia (Acute),None,Fatigue;Fever;Frequent infections;Easy bleeding/bruising;Bone pain
Lymphoma,None,Enlarged painless lymph nodes;Fever;Night sweats;Unexplained weight loss;Fatigue
Ovarian Cancer,Stage 1,Abdominal bloating;Early satiety;Pelvic pain
Ovarian Cancer,Stage 2,Increased bloating;Changes in bowel habits;Urinary symptoms
Ovarian Cancer,Stage 3,Abdominal distension;Ascites;Pelvic mass;Weight loss
Ovarian Cancer,Stage 4,Metastatic symptoms;Bowel obstruction;Systemic decline
Kidney Stones,None,Severe unilateral flank pain;Hematuria;Nausea;Vomiting;Urinary urgency
Appendicitis,None,Periumbilical pain migrating to right lower quadrant;Fever;Nausea;Loss of appetite
Rheumatoid Arthritis,None,Joint pain;Swelling;Morning stiffness;Fatigue;Reduced range of motion
Systemic Lupus Erythematosus,None,Fever;Fatigue;Joint pain;Butterfly rash;Photosensitivity;Oral ulcers
Severe Allergic Reaction (Anaphylaxis),None,Hives;Swelling;Airway constriction;Hypotension;Wheezing
Rabies,None,Prodrome: fever, malaise;Neurologic phase: agitation;Hydrophobia;Paralysis;Coma
Zika Virus,None,Fever;Rash;Conjunctivitis;Muscle pain;Joint pain;Headache
Yellow Fever,None,Fever;Jaundice;Muscle pain;Nausea;Vomiting;Dark urine;Bleeding
Ebola (Viral hemorrhagic),None,Fever;Severe weakness;Diarrhea;Vomiting;Bleeding;Multi-organ failure
